,name
301,"E 302 400011 B. J. Marg,Kanjarwada,Byculla"
302,"E 303 400011 Transit Camp,Tank Pakhadi Street,Kalapani,Mominpura Congested Area"
303,"E 304 400011 Kermani Building (Anand Estate),N. M. Joshi Marg,Arthur Road Naka,Chinchpokli"
304,"E 305 400011 Transist Camp,Tank Pakadi Street,Mominpura Congested Area"
305,"E 306 400011 Dagdi Chawal,B.J. Marg,Dagadi Chawl,Dagadi Chawl"
306,"E 307 400011 Vithal Sadan Maruti Gully,N.M Joshi Marg,Byculla Stn.,Buyculla Congested Area"
307,"E 308 400011 Chavhan Mension,Tank Pakadi Road,Opposite Khatao Mill,Byculla"
308,"E 309 400011 Bage Rabbani Appartment,Megraj Sethi Marg,Badliwala Charitable Dispensary,Byculla"
309,"E 310 400011 Rasul Jiva Compound,Kk Road 7Th Rasta,Jacob Circle,Byculla Congested Area"
310,"E 311 400011 Peer Bhai Mension,Morland Road,Sahara Medical Store Halim Manjil,Byculla"
311,"E 312 400011 Doodh Wala Complex,Belasis Road,Near Bombay Central Bus Depot,Byculla"
312,"E 313 400011 Dubhash Buiding,Bapurao Jagtap Marg,Lakhpati Hotel,Byculla"
313,"E 314 400011 Mandar Nikatan, N.M. Marg Joshi,M.C.G.M. Dispancery,Byculla"
314,"E 315 400011 Ar-Rayyan Tower,M.A.Road,Agripada,Near Zulha Madian,Byculla"
315,"E 316 400011 Chandramani, Buddha Vihar,Kamathi Pura,Nar Bharat Gas Agency,Byculla Congested Area"
316,"E 317 400011 Noorani Chawl,M A Road,Hari Masjid,Byculla Congested Area"
317,"E 318 400011 Hari Jayram Building,Sakali Street,Jhula Maidan,Byculla"
318,"E 319 400011 Sagar Classes,Clair Road,Saint Agnes School,Byculla"
319,"E 320 400011 New Police Line Agripada,Agripada,Jai Bajrang Krida Mandal, Near Old Police Line Opposite Unity Park,Byculla"
320,"E 321 400011 Madina Compound,7Th Rasta, Bapurao Jagtap Marg,Opposite 666 Tenament,Byculla"
321,"E 322 400011 Parijat Building Sunder Gully Naka,B J Marg,Opposite Shivshakti Building,Byculla"
322,"E 323 400011 Badlu Rangari Street Patra Chawl,Megraj Sethi Marg,Souter Street Health Post,Byculla Congested Area"
323,"E 324 400011 Kamathipura 4Th Gully,Laxmikant Bar, Near Mns Office,Byculla Congested Area"
324,"E 325 400011 Nair Road,Iti College,Byculla"
325,"E 326 400011 Laxmi Residency,Station Road,Near Maruti Gully. Opposite Byculla Station West,Byculla"
326,"E 327 400011 Rangwala Mansion, Agripada Fancy Market,Agripada,Opposite Jhula Maidan,Byculla"
327,"E 328 400011 Gate No. 5 Patra Chawl,Tank Pakadi Road,Katau Mill,Byculla Congested Area"
328,"E 329 400011 Meghraj City Zopdi,Near Fire Brigade,Byculla Congested Area"
329,"E 330 400011 Pansare Chawl,Arthur Road,Chinchpokli Railway Station,Byculla Congested Area"
330,"E 331 400011 Modern Mill Zopdi,Sane Guruji Marg,Vaishali Nagar,Byculla Congested Area"
331,"E 332 400011 Ksa Heights,1St Sakali Street,Near Zumma Masjid,Byculla"
332,"E 333 400011 Bit Chawl Ground Floor,Meghraj Sethi Marg,Andrew Church,Byculla Congested Area"
333,"E 334 400011 Kismat Manzil,Badlu Rangari Street,Behind E Ward,Byculla"
334,"E 335 400011 Pandur Vala Mahal,2Nd Sakali Street,Near Ripon Tower,Byculla"
335,"E 336 400011 Raja Bahadur Building,Nagpada Junction,Sagar Hotel,Byculla"
336,"E 337 400011 New Lambi Chawl, D Block,Kamathipura 5Th Lane,Byculla Congested Area"
337,"E 338 400011 Moti Mension,Sir J J Road,Opposite Police Hospital,Byculla"
338,"E 339 400011 Meri Mahal,Nagpada,Byculla"
339,"E 340 400011 Ashirwad Niwas, Kamathipura,8Th Gully,Opposite Macchi Market,Byculla"
340,"E 341 400011 Kamlesh Jaidev Building,5Th Gully Kamathipura,Kamathipura,Byculla"
341,"E 342 400011 Blue Heaven Bldg., Near Gulistan Bldg.,Agripada,Agripapa Municipal School,Byculla"
342,"E 343 400011 Rbi Staff Quarters,Ymca Road,Maratha Mandir,Byculla"
343,"E 344 400011 Adam Siddiqui Chawl,Ghosh Bazar,Near Hari Masjid,Byculla Congested Area"
344,"E 345 400011 Badliwala Apparement,Cross Road, Rippon Road,Near Husaini Baug, Opp. Hari Masjid,Byculla"
345,"E 346 400011 New Agakhan Bldg.,M.A Road,Agripada,Byculla"
346,"E 347 400011 12 Sahara Palace,Sakli Street,Byculla"
347,"E 348 400011 Isha Mention,B.J. Marg,Lakpati Hotel,Byculla"
348,"E 349 400011 Sagar Building Sunder Gully,Bj Marg,Khatau Mill Naka,Byculla"
349,"E 350 400011 Chaitanya Building,Bjmarg,Khatau Mill Naka,Byculla"
350,"E 351 400011 Kinjal Residency Agripda,Agripada,Opposite Mtnl Office,Byculla"
351,"E 352 400011 Redimani Hsg,Clair Road,Opposite Bata Showroom,Byculla"
352,"E 353 400011 Jubilee Compound,Sheikh Haffizuddin Marg,Near Ashadham,Byculla"
353,"E 354 400011 Shivneri Hostel Byculla West,Station Road,Byculla Station West,Byculla"
354,"E 355 400011 New Tank Bander Darukhana,Raey Road,Near Dr. Sudarshan Clinic,Byculla Congested Area"
355,"E 356 400011 Danish Villabajar Madanpura,3Rd Gelabai Street,Ghosht Bajar,Byculla"
356,"E 357 400011 Nilkanth Building Bakri Adda,Nm Joshi Marg Chinchpokli,Opposite Bmc Press,Byculla"
357,"E 358 400011 Farjan Appt.,Badlu Rangari Street Sheikh Haffizudin Marg,Behind E Ward Office,Byculla"
358,"E 359 400011 Pansare Chawl,Nm Joshi Marg Chinchpokli,Chinchpokli,Byculla Congested Area"
359,"E 360 400011 Baya Park Janata Sevak,Byculla Station Road,Byculla Station,Byculla"
360,"E 361 400011 Gharkul Building 1St Cross Lane Behind Bele Shop,Byculla Station Road,Opp. City Trust,Byculla"
361,"E 362 400011 Suryaji Compound,Tank Pakhadi Road,Lucky Compound,Byculla Congested Area"
362,"E 363 400011 Afrishower Building,Sakhli Street,Behind E Ward Office,Byculla"
363,"E 364 400011 B.I.T. Chawl Agripada, Fancy Market,Agripada,Zula Maidan,Byculla"
364,"E 365 400011 Nilgiri H.S.G.Soci. Agripada,Agripada,Opp. M.T.N.L. Office,Byculla"
365,"E 366 400011 Topaz Tower,Nair Road,Near Nair Hospital,Byculla"
366,"E 367 400011 Santosh Bhavan,Meghraj Shetty Marg,B.M.C. Meghraj Shetty School,Byculla"
367,"E 368 400011 Arihant Heights,Hindustan Masjd,Byculla"
368,"E 369 400011 Pani Kahte Chawl 564,N M Joshi Marg,Opposite To S Bridge Municipal School,Byculla Congested Area"
369,"E 370 400011 Building No. 2 Hans Road,Bj Marg,Bj Road Post Office,Byculla"
370,"E 371 400011 Shivneri Building,Bj Marg,Opposite Sunder Gullynear Dargah,Byculla"
371,"E 372 400011 Lambi Cement Chawl,Ms Ansari Marg,Opposite Sushanti Church,Byculla Congested Area"
372,"E 373 400011 Hanuman Prasad Building,Bj Marg,Opposite Sunder Gully,Byculla"
373,"E 374 400011 Railway Quarters D R M Officers Quarters,Agripada,Near Nair Hospital,Bombay Central"
374,"E 375 400011 Abdulla Mension,Sakali Street,Badlu Rangari Street,Byculla"
375,"E 376 400011 Hilton Residency,Bj Marg,Opp. Sundar Gully,Byculla"
376,"E 377 400011 Vasudev Vinayak Chawl,N.M. Joshi Marg,Bakri Adda, Bmc Garage,Chinchpokli Congested Area"
377,"E 378 400011 Mussa House No.620,B.J.Marg,Near Bank Of Badoda,Byculla"
378,"E 379 400011 Dukhi Seth Ki Chawl,2Nd Gela Bai Street,Hari Masjid,Madanpura"
379,"E 380 400011 Chota Sonapur, Bilal Masjid,Shautak Ali Road,Vivan Road,Kamthipura"
380,"E 381 400011 Narayan Bhavan,N M Joshi Marg,1St Cross Lane,Byculla"
381,"E 382 400011 Kachare Harsh Building,Ma Road,Hari Masjid,Madanpura"
382,"E 383 400011 53 Mohd. Azad India Building,Ma Road,Hari Masjid,Madanpura"
383,"E 384 400011 Bakhar Chawl,Ma Road,Hari Masjid,Madanpura"
384,"E 385 400011 Habib Palace,Sakali Street,Ashadhan,Byculla"
385,"E 386 400011 Lucky Compound,Sakali Street,Tank Pakadi Road,Byculla"
386,"E 387 400011 Killedar Mension,Mussa Killedar Street,Opp. Simplex Mhada,Byculla"
387,"E 388 400011 Poman Niwas,1St Crosslane,Opp. Kinjal Tower,Byculla"
388,"E 389 400011 Ksa Residency,Ma Road,Naer Husseni Baug,Madanpura"
389,"E 390 400011 Prabhat Building,Rb Chandorkar Marg,Police Station,Agripada"
390,"E 391 400011 Aziz Castle Building,Anandrao Nair Road,Jhula Maidan,Agripada"
391,"E 392 400011 Zunaid Manzil,Meghraj Sethi Marg,Meghraj Sethi Zopdi,Byculla"
392,"E 393 400011 68 Fanaswala Building,Ma Road,Salvation Army Ngo,Byculla"
393,"E 394 400011 Ksa Pride,Motlabhai Street,Near Wockhardt Hosp.,Byculla"
394,"E 395 400011 Islam Building Badlurangari Street,Meghraj Sethi Marg,Fire Brigade Zopdi,Byculla"
395,"E 396 400011 Nemtulla Building,Bj Marg,Opp. Bank Off Baroda,Byculla"
396,"E 397 400011 Afzal Chawl,Agripada,Opp. Nair Hosp.,Byculla"
397,"E 398 400011 D K Residency,Meghraj Sethi Marg,Near Mothersa,Byculla"
398,"E 399 400011 Bit Chawl No.23,M G Marg Agripada,Police Station,Byculla"
399,"E 400 400011 Byculla Jail Guest House,Clair Road,Byculla Jail,Byculla"
400,"E 401 400012 Dattakripa Building Chinchpokli,Dr. B A Road,Voltas House,Chinchpokli"
401,"E 402 400012 Vrundavan Building,Dr Ba Road,Opp. Jaihind Cinema,Chinchpokli"
402,"E 403 400012 Shivshakti Building,Telli Gully,Near Ganpati Utsav,Chinchpokli"
403,"E 404 400017 Masina Quarters,Sant Savata Marg,Massina Hospital,Byculla"
404,"E 405 400027 Ram Nagar A,Dr. B A Road Byculla East,Opposite Rani Bagh,Byculla East"
405,"E 406 400027 Nasmi House,6Th Chamber Lane,Palace Cinema,Byculla East"
406,"E 407 400027 Khan Building,Sant Savta Marg,Balaji Hospital,Byculla"
407,"E 408 400027 Jerbai Baug Byculla East,Opposite Byculla Bridge,Byculla"
408,"E 409 400027 Railway Nurses Quarters Opposite Rani Baug,Dr. B A Road,Railway Hospital,Byculla"
409,"E 410 400027 Police Office Quarters,Susex Road,Spice Hotel,Byculla"
410,"E 411 400027 Ajay Appartment,Hansraj Lane,Mankeshwar Mandir,Byculla"
411,"E 412 400027 Maratha Compound Building,Es Patanvala Marg,Near Muncipal Dispensary,Byculla"
412,"E 413 400027 Masina Hospital Staff Quarters,Sant Savata Marg,Masina Hosp.,Byculla East"
413,"E 414 400027 Bridge View Appt.,Hansraj Lane,Mankeshwar Mandir,Byculla East"
414,"E 415 400027 Haji Allana Compound,Ss Marg,Near Mustafa Bajar,Byculla"
415,"E 416 400033 Mhada Colony,Ram Bhau Bhogle Marg,Batliboy Compound Ground,Ghodapdeo"
416,"E 417 400033 Sanas Patra Shed,Dr. B. A. Road,Opp. Jaihind Cinema,Kalachowky Congested Area"
417,"E 418 400033 Kandi Karkhana,Rb Marg,Bharat Bank,Ghodapdeo Congested Area"
418,"FN 419 400014 Alt Block No.3,Mancherji Joshi Road, Dadar Parsi Colony,Dadar East Congested Area"
419,"FN 420 400019 College,Natanlal Parek Marg,Matunga"
420,"FN 421 400019 Sanjarkha House,Eden Walla Road,Opp Custom Quaters Near 5 Gardens,Matunga East"
421,"FN 422 400019 Palai Ratan,Shankar Matham Road,Matunga East Congested Area"
422,"FN 423 400022 Navratna Bldg,Mhada Colony,Kokari Agar,Sion Congested Area"
423,"FN 424 400022 Hanuman Chawl,Near Raoli Camp,Sion Koliwada Congested Area"
424,"FN 425 400022 Police Officer Bldg,Pratikshanagar,Sion"
425,"FN 426 400022 Seva Samiti Bldg,,Sion"
426,"FN 427 400022 ,Pratiksha Nagar,Sion"
427,"FN 428 400022 Bmc Bldg.No.G,Bhandarwada,Sion"
428,"FN 429 400022 Ratan Sagar,Flank Road,Near Shanmukhanand Hall,Sion"
429,"FN 430 400022 ,Pratiksha Nagar,Sion"
430,"FN 431 400022 Parijat Chs,Pratiksha Nagar,Sion"
431,"FN 432 400022 Nisarg Chs,Pratiksha Nagar,Sion"
432,"FN 433 400022 ,Sunder Kamala Nagar, Near Kings Circle,Sion Congested Area"
433,"FN 434 400022 Shanta Niwas,Gujrat Society,Sion"
434,"FN 435 400022 Sardar Nagar 3,Near Panchwati Bakery, Sion Koliwada,Sion"
435,"FN 436 400022 Nehru Nagar, Mrd Sion Koliwada,Sion Congested Area"
436,"FN 437 400022 Sham Dham Chs,,Sion"
437,"FN 438 400022 Annasgar,Sion Koliwada Gtb Nagar,Sion"
438,"FN 439 400022 Transit Camp,Gtb Sion Koliwada,Sion Congested Area"
439,"FN 440 400022 Shiv Sneha Society,Pratiksha Nagar Mhada Colony,Sion"
440,"FN 441 400022 ,Pratiksha Nagar,Sion"
441,"FN 442 400022 Maharastra Nagar Zopadpatti Sion Koliwada,,Sion Congested Area"
442,"FN 443 400022 ,Hindustan Nagar Congested Area"
443,"FN 444 400022 Mnv Colony,Sardar Nagar No1,Sion East"
444,"FN 445 400022 Eagali Chawl Comitee,Nehru Nagar No 1 Bhind,Wadala Congested Area"
445,"FN 446 400022 Madhu Mansion,Scheme 6 Bina Nurses Bureau"
446,"FN 447 400022 Seva Samiti Nagar,Sion Koliwada,Sion"
447,"FN 448 400022 Ambedkar Nagar,Behind Kachru Yadav Office Sion Koliwada,Sion Congested Area"
448,"FN 449 400022 Adarsh Chs,Rawali Camp Kokari Agar Sion Koliwada,Sion"
449,"FN 450 400022 Siddhivinayak Chs,Pratiksha Nagar,Sion"
450,"FN 451 400022 Shastri Ngr,Sion Koliwada 22,Sion Congested Area"
451,"FN 452 400022 Sunder Kamla Nagar Co.Op. Society,,Sion East"
452,"FN 453 400022 Bharti Bhavan 73,Near Amulakh School,Sndt College King Circle,Sion East"
453,"FN 454 400022 Meghdoot Bld.,Nr. Shanmukhanand Hall,Sion"
454,"FN 455 400022 Panchashil Society,Behind Building No. 1, Makka Wadi,Sion"
455,"FN 456 400022 Almeda Compound Z Patti,Nr Atta Compound, Sion Koliwada,Sion Congested Area"
456,"FN 457 400022 Road No 19,Center Railway Colony Guru Teg Bahadur Nagar East,Sion"
457,"FN 458 400022 Sai Baba Welfare Soc,Sanjay Gandhi Nagar,Sion East"
458,"FN 459 400022 Shri Jain Shvetambar Murti Pajak Sangh,Jain Soc,Sion"
459,"FN 460 400022 Sardar Nagar 3,Near Payanati Building, Mariaman Mandir,Sion Congested Area"
460,"FN 461 400022 Bhaidas Chawl,Near Sion Talab, Opp Temple Hill Bldg,Sion Congested Area"
461,"FN 462 400022 Kamal Block, Shivaji Forte Chs,Near Sion Fish Market,Sion"
462,"FN 463 400022 Salanati Hill,Sardar Nagar,Sion"
463,"FN 464 400022 Maharashtra Housing Board Colony,Mukundrao Ambedkar Road,Sardar Nagar 4 Raoli Camp,Sion"
464,"FN 465 400022 Gajanan Chawl,Nr Shiv Mandir, Indira Nagar, Shiv Koliwada,Sion Congested Area"
465,"FN 466 400031 ,Opp Ganesh Mandir Road Wadala West,Wadala"
466,"FN 467 400031 ,Sewri Cross,Wadala Congested Area"
467,"FN 468 400031 ,Wadala Village,Wadala Congested Area"
468,"FN 469 400031 Chaitaya Building,,Wadala East"
469,"FN 470 400031 Acharya Atre Nagar,Smd Road,Near Antop Hill Post Office,Wadala E Congested Area"
470,"FN 471 400031 Shubam Chs,Mmrda Colony Kokri Agari Next To Gtb Monoral Sion Koliwada,Wadala E"
471,"FN 472 400031 Jai Gurudatt Mitra Mandal,Nr Vithal Mandir,Wadala Congested Area"
472,"FN 473 400037 Sangam Nagar,S P Road,Antop Hill,Wadala East Congested Area"
473,"FN 474 400037 Bharatiya Kamala Nagar,S P Road,Near Karbala Msjid, Antop Hill,Wadala East Congested Area"
474,"FN 475 400037 Sai Baba Mandir,Vijay Nagar, Antop Hill,Wadala East Congested Area"
475,"FN 476 400037 Himmat Nagar,Sp Road,Near Madina Masjid,Wadala East Congested Area"
476,"FN 477 400037 Siddharth Nagar,Koraba Mithagar,Wadala Congested Area"
477,"FN 478 400037 Lal Mati, Kismat Nagar,,Wadala Congested Area"
478,"FN 479 400037 Bhaiyasaheb Nagar,90Feet Road,Barkat Ali Naka,Wadala East Congested Area"
479,"FN 480 400037 Omkar Chawl,Ganesh Nagar,Wadala East Congested Area"
480,"FN 481 400037 Chindhi Gully,Near Nurani Masjid,Wadala Congested Area"
481,"FN 482 400037 Rajiv Gandhi Nagar,Bpt Railway Line, Gate No. 4,Wadala Congested Area"
482,"FN 483 400037 Girdhar Tambe Nagar, Korba Mithagar,B.A.D Road,Wadala East Congested Area"
483,"FN 484 400037 Shivshankar Nagar,Jai Bhavani Temple, Wadala (E),Wadala Congested Area"
484,"FN 485 400037 Ramdas Chawl, Near Sai Baba Mandir,Antop Hill,Wadala Congested Area"
485,"FN 486 400037 Kokani Nagar,Jay Maharastra Road,Sion Koliwada,Sion Congested Area"
486,"FN 487 400037 Garib Nawaz Nagar,Kokari Agar,Antop Hill Congested Area"
487,"FN 488 400037 The Bayagroove, Sai Darshan Bldg.,Smd Road,Near Antop Hill Post Office,Wadala"
488,"FN 489 400037 Azad Mohalla,Sp Road,Shanti Nagar, Near Gausiya Masjid,Antop Hill Congested Area"
489,"FN 490 400037 Shaikh Misree Marg,Sai Baba Mandir, Vijay Nagar,Antop Hill,Wadala Congested Area"
490,"FN 491 400037 Motilal Nehru Nagar,Antop Hill,Wadala"
491,"FN 492 400037 Chandani Agagar,S. M. Road,Chandani Agagar Congested Area"
492,"FN 493 400037 Sangmeshwar Chawl,,Wadala Congested Area"
493,"FN 494 400037 Antop Hill Church, Near Shitaladevi Temple, Gtb Nagar, Sion,Navtarun Naik Nagar,Near Shitaladevi Temple, Gtb Nagar,Sion Congested Area"
494,"FN 495 400037 Mahatma Gandhi Nagar,Sector 3, Cgs Colony, Near Kane Nagar School,Antop Hill, Wadala Congested Area"
495,"FN 496 400037 Basant Mahal,Barakat Ali Road,Wadala"
496,"FN 497 400037 Navhind Karauli Mandal,,Wadala Congested Area"
497,"FN 498 400037 Barkat Ali Nagar,Dp Road,Wadala (E) Congested Area"
498,"FN 499 400037 Kamraj Nagar,Kokari Agar, Sion Koliwada,Sion Congested Area"
499,"FN 500 400037 Parn Kuti Housing Society,Gtb Nagar,Sion"
500,"FN 501 400037 Ram Nagar Co Op Society,Wadala Cross Road,Wadala"
501,"FN 502 400037 Kashusha Sangh No 1,Mahadev Nagar Opp Wadala Fish Market,Wadala Congested Area"
502,"FN 503 400037 Bhau Saheb Nagar,Ambekar Marg,Near Temple,Wadala Congested Area"
503,"FN 504 400037 Lahan Paigambari Chawl,Antop Hill Sampamnagar,Wadala E Congested Area"
504,"FN 505 400037 Wadala Heights Chs,Llyods Estate, Antop Hill,Wadala"
505,"FN 506 400037 Chikhalwadi,Near Masalewali Galli,Wadala Congested Area"
506,"FN 507 400037 Ganesh Nagar,Salt Pan Road,Near Sangam Nagar And Bhole Mandir,Wadala Congested Area"
507,"FN 508 400037 Din Bandhu Nagar,S P Road,Wadala East Congested Area"
508,"FN 509 400037 Ganesh Nagar,Near Vidyalankar College,Wadala Congested Area"
509,"FN 510 400037 Kokari Agar, Antop Hill,Wadala"
510,"FN 511 400037 Shree Niketan,Ambedkar Road,Sardar Nagar, Antop Hill,Wadala"
511,"FN 512 400037 Bpt Railway Line,Bangalipura Lalmati,Wadala Congested Area"
512,"FN 513 400037 Jai Maharashtra Nagar,Salt Pan Road,Near Vidyalankar College,Wadala Congested Area"
513,"FN 514 400037 Shivshankar Nagar,Salt Pan Road,Near Datta Mandir,Wadala Congested Area"
514,"FN 515 400037 Ramamata Wadi,Wadala Police Stn,Wadala Congested Area"
515,"FN 516 400037 New Mbpt Colony,Nadkarni Park,Wadala East"
516,"FN 517 400037 Maratha Chawl Committee,Antop Hill,Wadala Congested Area"
517,"FN 518 400037 Sangram Nagar,Balli Kirana Store, Antop Hill,Wadala Congested Area"
518,"FN 519 400037 Panjabi Camp,Antop Hill Church, Gtb Nagar, Sion Koliwada,Sion East"
519,"FN 520 400037 Jadeja Building,Sardar Nagar No 4, Near Ravli Hospital,Sion Koliwada,Sion East"
520,"FN 521 400037 Mhada Transit Camp,Sion Koliwada, Antop Hil,Wadala"
521,"FN 522 400037 Kopri Agar,Antop Hill,Wadala Congested Area"
522,"FN 523 400037 Pokhri Nagar,Kamraj Nagar, Near Mariyam Mandir, Antop Hill,Wadala Congested Area"
523,"FN 524 400037 Naik Nagar,,Pakhari Nagar, Antop Hill, Near Mayur Raj,Wadala Congested Area"
524,"FN 525 400037 Oprt Office,Antop Hill,Wadala"
525,"FN 526 400037 Adarsh Nagar,Ganesh Nagar Marg,Near Ambedkar College,Wadala Congested Area"
526,"FN 527 400037 Jay Bharat Building,Sion Koliwada, Mhada Colony,Wadala"
527,"FN 528 400037 Om Shiv Shakti Chs,Gtb Ngr Sion Koliwada,Wadala"
528,"FN 529 400037 Terlochan Society,Gtb Ngr Sion Koliwada,Wadala"
529,"FN 530 400037 Adharsh Garkul Chs,Hemnant Majrekar Road,Sardar Nagar No - 4,Wadala"
530,"FN 531 400037 Wadala Dest Staff Quarters,Near Wadala Best Bus Depot,Wadala"
531,"FN 532 400037 Futnani Bldg,Kidwai Road,Wadala"
532,"FN 533 400037 Hill View Society,Smd Road,Antop Hill,Wadala"
533,"FN 534 400037 Garib Nawaz Ngr,Near Koliwada, Antophill,Wadala Congested Area"
534,"FS 535 400012 Mamta Bldg,Jer Bai Wadia Road,Near Bhoiwada,Parel Congested Area"
535,"FS 536 400012 Aadhar Blg, Shramik Niwas, Vikrant Sadan,Sane Guruji Marg,Gas Company Lane,Chinchpokli Congested Area"
536,"FS 537 400012 Ug Pg Hostel Rooms & Nurses Quarters, Kem Hospital Campus,Dr. E Borges Road,Parel"
537,"FS 538 400012 Transit Camp,Shankar Tanaji Ghadi Marg,Behind Suntower,Bhoiwada"
538,"FS 539 400012 Pwd Chawl Godown,Road No.39,Annabhau Sathe Nagar,Bhoiwada"
539,"FS 540 400012 Itc Grand Hotel,Off Dr. B.A. Road,Parel"
540,"FS 541 400012 Javeri House,Dr. Batliwala Road,Parel"
541,"FS 542 400012 Bhuvaneshwar Bldg,Dr. Walimbe Marg,Parel"
542,"FS 543 400012 Yashwant Bldg.,Dr. S.S.Rao Rd.,Parel Congested Area"
543,"FS 544 400012 Batatawala Mansion,Ganesh Gully,Lalbaug Congested Area"
544,"FS 545 400012 Amrutvel Chs,Ganesh Galli,Lalbaug"
545,"FS 546 400012 Habib Terrace,Dr Baba Saheb Ambedkar Marg,Lalbaug Congested Area"
546,"FS 547 400012 Best Quaters,V Shantaram Road,Gurudam Kripa Housing Society,Parel"
547,"FS 548 400012 Mehaboob Chawl,Sewree Cross Road,Sewree Congested Area"
548,"FS 549 400012 Bharat Nagar,Hindu Smashanbhumi Road,Bhoiwada Congested Area"
549,"FS 550 400012 Muthelia Regency,Hakoba Bus Stop,Lalbaug"
550,"FS 551 400012 Iqbal Bldg., Maharashtra Guest House,Dr Baba Saheb Ambedkar Marg,Parel"
551,"FS 552 400012 Bohari Chwal,N.L.Paralkar Marg,Parel Congested Area"
552,"FS 553 400012 New Police Line,G D Ambekar Marg,Parel Congested Area"
553,"FS 554 400012 Shipai Chal Society,Inside Kem Hosp Premises,Parel Congested Area"
554,"FS 555 400012 Amey Chs,Sane Guruji Marg,Lalbaug,Parel"
555,"FS 556 400012 Bhim Nagar,Bai Jer Bai Wadia Road,Bhoiwada,Parel Congested Area"
556,"FS 557 400012 Shraddha Building,Jerbai Wadia Road,Parel"
557,"FS 558 400012 Bhavna Apartments,Dr Vijay Kumar Walimbe Road,Parel"
558,"FS 559 400012 Khoja Kasam Chawl,J Merwanji Street,,Parel Congested Area"
559,"FS 560 400012 Ambekar Colony,,Parel"
560,"FS 561 400012 Sukhakarta Co-Op Hsg Soc.,,Lalbaug,Parel"
561,"FS 562 400012 Dharati Chs.,G.M. Navgare Marg,Parel"
562,"FS 563 400012 Wagheshwari Nagar,Sakharam Lanjekar Marg,Near Durgamata Temple,Parel Congested Area"
563,"FS 564 400012 Sahakar Darshan Bldg.,N.I. Paralekar Marg,Parel"
564,"FS 565 400012 Kalptaru Bldg,S.S. Rao Marg,Lalbaug,Parel"
565,"FS 566 400012 Shivlal Chawl (Slum),St. Xavier Street, Bhoiwada,Bhoiwada,Parel Congested Area"
566,"FS 567 400012 Kuka Sadan,Dr Baba Saheb Ambedkar Marg,Parel"
567,"FS 568 400014 New Transit Camp,Dada Saheb Phalke Road,Gautam Nagar,Dadar"
568,"FS 569 400014 Abhishek Chs,Spring Mill,Nr. Naigaon Monorail Stn.,Dadar"
569,"FS 570 400014 Gautam Nagar Bldg, Dr. Dadasaheb Falake Road,Dadar"
570,"FS 571 400014 Ahmed Sailor Compd,Opp New Bdd Chawl,Naigaon,Dadar Congested Area"
571,"FS 572 400014 New Bdd Chal No. 17,M.J. Phule Road,Naigaon,Dadar"
572,"FS 573 400014 Old Bdd Chawl,Mj Phule Marg,Naigon,Dadar Congested Area"
573,"FS 574 400014 Bdd Chawl,Naigaon,Dadar Congested Area"
574,"FS 575 400014 Patel Blg.,Hindmata,Dadar Congested Area"
575,"FS 576 400014 Kohinoor Mill Copmound Chawl,M.J. Phule Rd,Naigaon,Dadar Congested Area"
576,"FS 577 400014 New Bdd Chawl,Naigaon,Dadar Congested Area"
577,"FS 578 400014 Niagaon Poilice Head Quarters,Naigaon,Dadar Congested Area"
578,"FS 579 400014 Kesar Baug Bldg.,B.J. Devrukhkar Marg,Naigaon,Dadar"
579,"FS 580 400014 Shivneri Bldg.,Dadasaheb Phalke Marg,Dadar Congested Area"
580,"FS 581 400014 Bhoiwada,Opp. Naigaon Maternity Hosp.,Dadar"
581,"FS 582 400014 Ahmed Sailor Compound,Vijay Dwarekar Road,Naigaon, Near Lokseva Rd.,Dadar Congested Area"
582,"FS 583 400014 Chawl, Spring Mil Compound,Naigaon,Dadar Congested Area"
583,"FS 584 400014 Baithi Chawl,Springmill Compound, Naigaon,Dadar Congested Area"
584,"FS 585 400014 Spring Mill Compound,,Naigon,Dadar Congested Area"
585,"FS 586 400014 Old Bdd Chawl,Wagh Marg,Off Mj Phule Marg, Naigao,Dadar Congested Area"
586,"FS 587 400015 Irani Chawl No 8,Sewree Cross Road,Opp Dr.Khatri Clinic,Sewree Congested Area"
587,"FS 588 400015 Bahare Madina,Wadala,Near R A Kidwai Road Police Station,Sewree"
588,"FS 589 400015 Gtb Hostel, G T B Hospital,Jer Bai Wadia Road,Sewree"
589,"FS 590 400015 Hirji Baug Chs,Jer Bai Wadia Road,Sewree"
590,"FS 591 400015 Dyaneshwar Nagar Vasahat,Jer Bai Wadia Rd,Sewree"
591,"FS 592 400015 Ashok Gardens,Takorsey Jivraj Marg,Swan Mill Compound,Sewree"
592,"FS 593 400015 Bhavya Apts,Acharya Donde Marg,Sewree"
593,"FS 594 400015 Pathan Masjid Compound,Sewree Cross Road,Sewree Congested Area"
594,"FS 595 400015 Banubai Chawl No. 5,,Sewree Congested Area"
595,"FS 596 400015 Tokarasi Baithi Chawl,Tj Rd,Gopal Baug,Sewree Congested Area"
596,"FS 597 400015 Rupji Gandhi Chawl, Gaadi Adda,Near Hanuman Mandir,Sewree Congested Area"
597,"FS 598 400015 Patra Chawl, Nakawachi Wadi,Takorsey Jivraj Marg,Sewree Congested Area"
598,"FS 599 400015 Indira Railway Hutments,Haji Bunder Road,Sewree Congested Area"
